question,status,answer
該怎麼請假,True,"請至HR Portal提出請假申請，並等待主管核准。若有任何問題，請聯絡人資部承辦人。請假申請流程：https://reurl.cc/9XGOnO
Yui/#8836/YuiWong@wistronits.com"
我進公司十年了，請問我有哪些假,True,"根據公司的特休假規定，十年以上的員工每年可享有30天的特休假。此外，公司也提供每年5天的個人假，以及14天的事假。若有特殊情況需要照顧家庭成員，也可以請求7天的家庭照顧假。若您還有其他假別的問題，可以至HR Portal查詢或聯絡人資部承辦人詢問。聯絡人資部承辦人的資訊如下：
Yui/#8836/YuiWong@wistronits.com"
公司有什麼福利嗎,True,公司有成立福委會，舉辦全公司性質的中大型活動，會以Mail公告周知所有的同仁，歡迎各位同仁報名參加。公司有團保，在同仁入職起第一天即享有住院、醫療實支實付，通過試用期考核後則會將您的配偶跟子女免費加保。端午、中秋及生日禮券額度500元及春節禮券1000元。福委會及公司之婚喪喜慶、殘歿及災害補助。優於勞基法的休假，每年多給5天的個人假，試用期考核通過後，則依當年度在職日數比例計算個人假天數。入職滿三個月，享有年度健康檢查。若有其他問題，歡迎聯繫Jason/#8845/Jasonlai@wistronits.com。
公司有哪些福利廠商嗎,False,很抱歉，我無法回答以上問題，請聯絡8855。
我該怎麼訂便當,True,每日公司代訂便當截止時間為10:00am。您可以透過EIP訂便當及更換廠商，也可至櫃台訂購便當，費用以當天廠商提供餐點計費並以月結方式於當月薪資中扣除。若有任何問題，請聯絡Anita/#8888/AnitaChen@wistronits.com。
我想要加薪可以找誰聯絡,True,請與您的部門主管聯繫，詢問加薪相關事宜。如果有其他問題，歡迎聯繫人資部的Maggie，電話為02-77458839，Email為MaggieWu@wistronits.com。
請問公司地址,True,緯創軟體公司地址為新北市汐止區新台五路一段93號32樓 22175。
公司董事長是誰,True,緯創軟體董事長暨執行長為蕭清志(Ching Hsiao)。
請問可以給我一些關於公司出差的補助說明嗎,True,當員工因公外出時，公司會提供相關的交通費、住宿費、日支費等補助。若需要預支差旅費，可以填寫BPM表單【出差及銷差申請單】，並於出差事實發生前將表單送至台北財務室申請。若出差期間跨年度，可以向權責主管申請暫估11及12月份出差旅費之費用，並在財務公告日之前E-Mail給會計部同仁做暫估入帳。若有其他問題，可以聯絡高譽慈/#8840/Elsakao@wistronits.com。
我想知道公司團保的規定,True,主要是住院、手術、意外傷害的理賠，詳情可來信跟人資部承辦人索取團保手冊。若有其他問題，歡迎聯絡Yui/#8836/YuiWong@wistronits.com。
我想知道公司執行長是誰,True,緯創軟體的董事長暨執行長是蕭清志(Ching Hsiao)。如果您對公司有其他問題需要協助，請聯繫我們的客服中心8855。
請提供離公司附近可以租房子的地點,True,很抱歉，我無法回答以上問題，請自行搜尋相關資訊或聯絡當地的房屋仲介。
我要找會議室預定系統？,True,請上會議室預約系統https://meeting.wistronits.com。
我有一個假單還在“審批進行中”的狀態，要怎樣銷假呢？,True,若假單還在“審批進行中”的狀態，請請審批人收回審批，申請人就可以去調整時數或類別。如果您需要銷假，請至HR Portal提出銷假申請，休假起訖時間調整為實際休假時間。銷假申請流程：https://reurl.cc/QWDmM5。如果有任何問題，請聯絡Yui/#8836/YuiWong@wistronits.com。
怎麼申請特休？,True,請至HR Portal填寫特休申請單申請，申請路徑：「登入HR Portal→HR 自助→勤務管理→特休申請」，填寫完畢後送簽主管，待主管審核通過後，HR會進行審核，通過後即可享有特休假。若有任何問題，請聯絡Yui/#8836/YuiWong@wistronits.com。
怎麼申請喪假？,True,請先來信告知承辦人您的員工編號及申請事由，依據親屬關係天數不一，得分開請假，為有薪假。申請喪假時，請備妥訃聞正本2份或死亡證明影本2份，交給承辦人辦理或郵寄至新北市汐止區新台五路一段93號32樓－賴文政先生。若有其他問題，請聯絡Yui/#8836/YuiWong@wistronits.com。
怎麼申請生育補助？,True,"請來信告知承辦人您的員工編號及申請事由，並附上新生兒的出生證明影本。申請對象為公司之補助將納入年度薪資所得。聯絡人資訊如下：
Jason/#8845/Jasonlai@wistronits.com"
要怎麼創一個社團？,True,很抱歉，我無法回答以上問題，請聯絡ChoyaLee@Wistronits.com詢問相關資訊。
